Symbol,Date,Close/Last,Open,High,Low
NVDA,18/11/2024,140.15,139.5,141.55,137.15
NVDA,15/11/2024,141.98,144.87,145.24,140.08
NVDA,14/11/2024,146.76,147.64,149,145.55
NVDA,13/11/2024,146.27,149.07,149.33,145.9
NVDA,12/11/2024,148.29,146.78,149.65,146.01
NVDA,11/11/2024,145.26,148.68,148.85,143.57
NVDA,8/11/2024,147.63,148.77,149.77,146.26
NVDA,7/11/2024,148.88,146.39,148.93,146.17
NVDA,6/11/2024,145.61,142.96,146.49,141.96
NVDA,5/11/2024,139.91,137.45,140.37,137.33
NVDA,4/11/2024,136.05,137.21,138.96,135.57
NVDA,1/11/2024,135.4,134.7,137.31,134.57
AAPL,17/1/2025,229.98,232.12,232.29,228.48
AAPL,16/1/2025,228.26,237.35,238.01,228.03
AAPL,15/1/2025,237.87,234.64,238.96,234.43
AAPL,14/1/2025,233.28,234.75,236.12,232.47
AAPL,13/1/2025,234.4,233.53,234.67,229.72
AAPL,10/1/2025,236.85,240.01,240.16,233
AAPL,8/1/2025,242.7,241.92,243.71,240.05
AAPL,7/1/2025,242.21,242.98,245.55,241.35
AAPL,6/1/2025,245,244.31,247.33,243.2
AAPL,3/1/2025,243.36,243.36,244.18,241.89
AAPL,2/1/2025,243.85,248.93,249.1,241.82
AAPL,31/12/2024,250.42,252.44,253.28,249.43
AAPL,30/12/2024,252.2,252.23,253.5,250.75
AAPL,27/12/2024,255.59,257.83,258.7,253.06
AAPL,26/12/2024,259.02,258.19,260.1,257.63
AAPL,24/12/2024,258.2,255.49,258.21,255.29
AAPL,23/12/2024,255.27,254.77,255.65,253.45
AAPL,20/12/2024,254.49,248.04,255,245.69
AAPL,19/12/2024,249.79,247.5,252,247.09
AAPL,18/12/2024,248.05,252.16,254.28,247.74
AAPL,17/12/2024,253.48,250.08,253.83,249.78
AAPL,16/12/2024,251.04,247.99,251.38,247.65
AAPL,13/12/2024,248.13,247.82,249.29,246.24
AAPL,12/12/2024,247.96,246.89,248.74,245.68
AAPL,11/12/2024,246.49,247.96,250.8,246.26
AAPL,10/12/2024,247.77,246.89,248.21,245.34
AAPL,9/12/2024,246.75,241.83,247.24,241.75
AAPL,6/12/2024,242.84,242.91,244.63,242.08
AAPL,5/12/2024,243.04,243.99,244.54,242.13
AAPL,4/12/2024,243.01,242.87,244.11,241.25
AAPL,3/12/2024,242.65,239.81,242.76,238.9
AAPL,2/12/2024,239.59,237.27,240.79,237.16
AAPL,29/11/2024,237.33,234.81,237.81,233.97
AAPL,27/11/2024,234.93,234.47,235.69,233.81
AAPL,26/11/2024,235.06,233.33,235.57,233.33
AAPL,25/11/2024,232.87,231.46,233.25,229.74
AAPL,22/11/2024,229.87,228.06,230.72,228.06
AAPL,21/11/2024,228.52,228.88,230.16,225.71
AAPL,20/11/2024,229,228.06,229.93,225.89
AAPL,19/11/2024,228.28,226.98,230.16,226.66
AAPL,18/11/2024,228.02,225.25,229.74,225.17
AAPL,15/11/2024,225,226.4,226.92,224.27
AAPL,14/11/2024,228.22,225.02,228.87,225
AAPL,13/11/2024,225.12,224.01,226.65,222.76
AAPL,12/11/2024,224.23,224.55,225.59,223.36
AAPL,11/11/2024,224.23,225,225.7,221.5
AAPL,8/11/2024,226.96,227.17,228.66,226.41
AAPL,7/11/2024,227.48,224.63,227.88,224.57
AAPL,6/11/2024,222.72,222.61,226.07,221.19
AAPL,5/11/2024,223.45,221.8,223.95,221.14
AAPL,4/11/2024,222.01,220.99,222.79,219.71
AAPL,1/11/2024,222.91,220.97,225.35,220.27
MSFT,17/1/2025,429.03,434.09,434.48,428.17
MSFT,16/1/2025,424.58,428.7,429.49,424.39
MSFT,15/1/2025,426.31,419.13,428.15,418.27
MSFT,14/1/2025,415.67,417.81,419.74,410.72
MSFT,13/1/2025,417.19,415.24,418.5,412.29
MSFT,10/1/2025,418.95,424.63,424.71,415.02
MSFT,8/1/2025,424.56,423.46,426.97,421.54
MSFT,7/1/2025,422.37,429,430.65,420.8
MSFT,6/1/2025,427.85,428,434.32,425.48
MSFT,3/1/2025,423.35,421.08,424.03,419.54
MSFT,2/1/2025,418.58,425.53,426.07,414.85
MSFT,31/12/2024,421.5,426.1,426.73,420.66
MSFT,30/12/2024,424.83,426.06,427.55,421.9
MSFT,27/12/2024,430.53,434.6,435.22,426.35
MSFT,26/12/2024,438.11,439.08,440.94,436.63
MSFT,24/12/2024,439.33,434.65,439.6,434.19
MSFT,23/12/2024,435.25,436.74,437.65,432.83
MSFT,20/12/2024,436.6,433.11,443.74,428.63
MSFT,19/12/2024,437.03,441.62,443.18,436.32
MSFT,18/12/2024,437.39,451.32,452.65,437.02
MSFT,17/12/2024,454.46,451.01,455.29,449.57
MSFT,16/12/2024,451.59,447.27,452.18,445.28
MSFT,13/12/2024,447.27,448.44,451.43,445.58
MSFT,12/12/2024,449.56,449.11,456.16,449.11
MSFT,11/12/2024,448.99,444.05,450.35,444.05
MSFT,10/12/2024,443.33,444.39,449.62,441.6
MSFT,9/12/2024,446.02,442.6,448.33,440.5
MSFT,6/12/2024,443.57,442.3,446.1,441.77
MSFT,5/12/2024,442.62,437.92,444.66,436.17
MSFT,4/12/2024,437.42,433.03,439.67,432.63
MSFT,3/12/2024,431.2,429.84,432.47,427.74
MSFT,2/12/2024,430.98,421.57,433,421.31
MSFT,29/11/2024,423.46,420.09,424.88,417.8
MSFT,27/11/2024,422.99,425.11,427.23,422.02
MSFT,26/11/2024,427.99,419.59,429.04,418.85
MSFT,25/11/2024,418.79,418.38,421.08,414.85
MSFT,22/11/2024,417,411.37,417.4,411.06
MSFT,21/11/2024,412.87,419.5,419.78,410.29
MSFT,20/11/2024,415.49,416.87,417.29,410.58
